Maths,Physics,Chemistry,Result,Total
17,27,22,0,66
72,82,77,1,231
97,18,13,0,128
8,42,37,0,87
32,25,20,0,77
15,73,68,0,156
63,67,62,1,192
97,70,65,1,232
57,93,88,1,238
60,58,53,1,171
83,36,31,0,150
48,22,17,0,87
100,72,67,1,239
26,13,8,0,47
12,59,54,0,125
62,65,60,1,187
3,87,82,0,172
49,10,5,0,64
55,67,94,1,216
77,44,62,1,183
97,39,39,0,175
98,85,97,1,280
0,23,34,0,57
89,50,80,1,219
57,13,18,0,88
34,12,45,0,91
92,13,8,0,113
29,93,7,0,129
75,79,8,0,162
13,11,88,0,112
40,58,74,1,172
3,37,6,0,46
2,64,53,0,119
3,13,92,0,108
83,77,32,0,192
69,38,59,0,166
1,66,97,0,164
48,73,8,0,129
87,80,72,1,239
27,39,33,0,99
54,54,61,1,169
92,39,68,0,199
3,38,75,0,116
67,68,34,0,169
28,47,49,0,124
97,12,34,0,143
56,63,91,1,210
63,81,33,0,177
70,92,63,1,225
29,22,42,0,93
44,33,7,0,84
29,90,58,0,177
86,47,76,1,209
28,25,87,0,140
97,52,17,0,166
58,74,28,0,160
37,64,85,0,186
2,74,97,0,173
53,95,42,1,190
71,34,20,0,125
82,48,47,1,177
12,46,97,0,155
23,85,96,0,204
80,73,69,1,222
92,74,59,1,225
37,60,69,0,166
15,85,90,0,190
95,14,29,0,138
42,71,43,1,156
92,41,41,1,174
91,61,80,1,232
64,63,68,1,195
54,95,69,1,218
64,32,55,0,151
85,56,80,1,221
24,80,9,0,113
38,57,66,0,161
36,21,36,0,93
75,66,56,1,197
63,94,58,1,215
64,75,90,1,229
50,23,27,0,100
75,30,51,0,156
4,76,75,0,155
61,60,94,1,215
31,57,91,0,179
95,72,99,1,266
51,13,52,0,116
53,70,16,0,139
85,15,61,0,161
22,49,89,0,160
46,88,70,1,204
70,85,18,0,173
89,84,25,0,198
99,60,71,1,230
86,92,55,1,233
94,31,52,0,177
47,31,67,0,145
11,74,98,0,183
56,39,8,0,103
84,11,65,0,160
65,35,10,0,110
13,79,44,0,136
99,80,95,1,274
20,39,83,0,142
66,61,80,1,207
50,75,79,1,204
47,54,55,1,156
62,83,87,1,232
93,55,26,0,174
3,68,26,0,97
60,44,69,1,173
5,94,34,0,133
39,80,6,0,125
90,87,30,0,207
78,10,74,0,162
75,59,75,1,209
74,75,34,0,183
50,26,56,0,132
82,76,70,1,228
21,81,49,0,151
21,36,78,0,135
64,64,50,1,178
29,17,63,0,109
1,71,39,0,111
98,56,89,1,243
25,82,75,0,182
69,80,82,1,231
70,35,98,0,203
29,74,5,0,108
51,62,54,1,167
65,72,99,1,236
44,55,70,1,169
73,63,21,0,157
45,54,71,1,170
58,10,76,0,144
34,78,31,0,143
84,79,59,1,222
70,89,12,0,171
77,88,66,1,231
93,52,51,1,196
0,68,77,0,145
49,86,75,1,210
100,13,30,0,143
94,39,69,0,202
65,91,57,1,213
16,32,67,0,115
66,80,50,1,196
99,84,58,1,241
71,33,49,0,153
26,21,5,0,52
54,80,73,1,207
7,42,74,0,123
61,14,84,0,159
46,19,83,0,148
72,20,47,0,139
70,12,63,0,145
25,67,81,0,173
64,11,8,0,83
52,45,34,0,131
62,41,86,1,189
45,44,27,0,116
53,24,75,0,152
44,89,79,1,212
0,33,28,0,61
68,54,16,0,138
69,47,75,1,191
79,18,37,0,134
100,31,9,0,140
78,30,91,0,199
42,42,14,0,98
58,77,15,0,150
76,31,7,0,114
3,94,62,0,159
29,44,6,0,79
81,92,40,1,213
22,47,36,0,105
70,68,39,0,177
74,51,19,0,144
23,73,84,0,180
11,70,28,0,109
70,24,49,0,143
32,13,42,0,87
4,49,13,0,66
86,59,26,0,171
9,53,25,0,87
10,63,37,0,110
